Name,Phenylalanine,Protein,Carbohydrates,Total_fat,Calories,Home_measure,Home_phenylalanine,Home_weight,Category,Color
MEVALIA PKU GMPOWER miško uogų,64,45,27,1.7,302, 1 pakelis,15,22.6,Amino rūgštys,Žalia
MEVALIA PKU GMPOWER pinakolada,61,41,33,1.5,320,1 pakelis,15,24.4,Amino rūgštys,Žalia
MEVALIA PKU GMPOWER vanilė,61,43,32,1.7,319,1 pakelis,14,23.4,Amino rūgštys,Žalia
MEVALIA PKU BALANCE apelsinų,0,70,4.9,0,301, 1 porcija,0,195,Amino rūgštys,Žalia
MEVALIA PKU BALANCE,0,70,5.7,0,302,1 porcija,0,195,Amino rūgštys,Žalia
MEVALIA LATTIS pieno pakaitalas,12,0.3,9.1,2.7,62,-,0,0,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA COOKIES sausainiai,31,0.7,78,17,471,1 sausainis,3,10,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA FRUIT BAR batonėlis su braškių įdaru,22,0.6,72,14,424,1 batonėlis,6,25,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA CHOCOTINO šokoladas,14,0.4,47,42,583,1 plytelė,4,25,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA FROLLINI sausainiai,27,0.7,84,15,476,1 sausainis,2,7,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA DITALI makaronai,21,0.5,81,1.1,351,1 porcija,17,80,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA FUSILLI makaronai,21,0.5,81,1.1,351,1 porcija,17,80,Kompensuojami produktai,Geltona
MEVALIA PENNE makaronai,21,0.5,81,1.1,351,1 porcija,17,80,Kompensuojami produktai,Geltona
MEVALIA SPAGHETTI spagečiai,18,0.5,81,1.6,355,1 porcija,14,80,Kompensuojami produktai,Geltona
MEVALIA RICE ryžiai,20,0.5,79,1.3,343,1 porcija,16,80,Kompensuojami produktai,Geltona
MEVALIA BREAD MIX miltinis mišinys baltai duonai,17,0.5,84,0.4,348,1 gabaliukas,4,20,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIIA PIZZA BASE picos padas,20,0.9,49,4.2,263,1 padas,30,150,Maisto produktai su sumažinti baltymų kiekiu,Geltona
MEVALIA CIABATTINE duonos bandelės,18,0.5,41,3.4,221,1 bandelė,12,65,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA PANE CASERECCIO pjaustyta duona,22,0.6,38,3.8,214,-,0,0,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA PAN CARRE balta pjaustyta duona,31,0.8,43,2.4,223,1 gabaliukas,8,25,Maisto produktai su sumažintu baltymų kiekiu,Geltona
